Solution_ID,Element_ID,ElementType,DCR
Sol #1,1,Column,0.13992673461481045
Sol #1,2,Column,0.32330321395984957
Sol #1,3,Column,0.413670058254186
Sol #1,4,Column,0.2125438584274399
Sol #1,5,Column,0.23945937860810387
Sol #1,6,Column,0.38546338186396606
Sol #1,7,Column,0.4228923039564648
Sol #1,8,Column,0.3884834918827642
Sol #1,9,Column,0.16309368855663642
Sol #1,10,Column,0.3230228998259144
Sol #1,11,Column,0.3618337104253397
Sol #1,12,Column,0.265583213209424
Sol #1,13,Column,0.1326794756333701
Sol #1,14,Column,0.22216282778024998
Sol #1,15,Column,0.07523362824170181
Sol #1,16,Column,0.13269724095710245
Sol #1,17,Column,0.31697618539871675
Sol #1,18,Column,0.3576968190836952
Sol #1,19,Column,0.23338212070599076
Sol #1,20,Column,0.1315356633042315
Sol #1,21,Column,0.26058338838555245
Sol #1,22,Column,0.3019756150515796
Sol #1,23,Column,0.3090919623772043
Sol #1,24,Column,0.10455034300594826
Sol #1,25,Column,0.24017689720257168
Sol #1,26,Column,0.2784309935586205
Sol #1,27,Column,0.27619415202394326
Sol #1,28,Column,0.18263921862604454
Sol #1,29,Column,0.22934293857325852
Sol #1,30,Column,0.19365812428777177
Sol #1,31,Column,0.08883383084822324
Sol #1,32,Column,0.17049861079070253
Sol #1,33,Column,0.20637704168768883
Sol #1,34,Column,0.24358054463038004
Sol #1,35,Column,0.318454819736582
Sol #1,36,Column,0.35779079952401166
Sol #1,37,Column,0.3764435424099121
Sol #1,38,Column,0.18701841113775047
Sol #1,39,Column,0.5338262492640231
Sol #1,40,Column,0.3276126989211548
Sol #1,41,Column,0.36429287967742374
Sol #1,42,Column,0.12453226752635387
Sol #1,43,Column,0.450928007498197
Sol #1,44,Column,0.31086745130603755
Sol #1,45,Column,0.164330014272425
Sol #1,46,Column,0.17564126601513716
Sol #1,47,Column,0.6084148597380208
Sol #1,48,Column,0.654648543009104
Sol #1,49,Column,0.5921299683713808
Sol #1,50,Column,0.33238304525674073
Sol #1,51,Column,0.3687368795505009
Sol #1,52,Column,0.3491778150276647
Sol #1,53,Column,0.4699588168363884
Sol #1,54,Column,0.4917432526320634
Sol #1,55,Column,0.3284162524433609
Sol #1,56,Column,0.23703100184985942
Sol #1,57,Column,0.4299270292370795
Sol #1,58,Column,0.45072708993733723
Sol #1,59,Column,0.3299388134835201
Sol #1,60,Column,0.12290078396545108
Sol #1,61,Beam,0.5977131735216568
Sol #1,62,Beam,0.6369758182879789
Sol #1,63,Beam,0.6001173603676069
Sol #1,64,Beam,0.6759132989899452
Sol #1,65,Beam,0.6656637398439234
Sol #1,66,Beam,0.6904400805608937
Sol #1,67,Beam,0.6479039992103571
Sol #1,68,Beam,0.6555952074601544
Sol #1,69,Beam,0.6570905879288155
Sol #1,70,Beam,0.0813197435064916
Sol #1,71,Beam,0.0985633487130191
Sol #1,72,Beam,0.8616457283010444
Sol #1,73,Beam,0.5016220628328578
Sol #1,74,Beam,0.9337268557579725
Sol #1,75,Beam,0.5685963222720358
Sol #1,76,Beam,0.10354399180488315
Sol #1,77,Beam,0.9610081918062668
